"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
-0.0813,0.11793,-0.2709,-0.0437,-0.0191,-0.0686,-0.0440,0.07733,0.15660,-0.0587,-0.1573,-0.1272
-0.0459,0.24121,-0.2709,0.00419,0.01758,0.12852,0.07255,0.00391,-0.0874,0.01308,-0.0958,-0.1272
-0.0459,0.15902,-0.2309,-0.0163,0.00756,-0.0123,0.02661,0.01859,-0.0402,-0.0048,-0.0958,-0.1272
0.25489,-0.1697,0.28902,-0.0437,-0.0208,0.01584,0.04781,0.09202,-0.1189,-0.0467,-0.0958,0.07279
-0.0813,0.11793,-0.2709,-0.0437,-0.0191,-0.0686,-0.0440,0.07733,0.15660,-0.0587,-0.1573,-0.1272
-0.0813,0.09053,-0.2709,-0.0506,-0.0208,-0.0404,-0.0228,0.07733,0.15660,-0.0587,-0.1573,-0.1272
-0.0371,0.04943,-0.2109,-0.0643,-0.0308,-0.0123,0.04428,-0.0254,-0.0087,-0.1186,-0.1573,-0.1272
-0.0902,0.08368,-0.2709,-0.0916,-0.0375,-0.0123,-0.0899,-0.1576,0.06211,-0.1126,-0.0650,0.27279
-0.0459,0.03573,-0.2509,-0.0369,-0.0241,-0.0968,-0.1005,0.00391,0.03849,-0.0527,-0.1419,0.27279
-0.0725,-0.0190,0.08902,0.24391,-0.0274,0.01584,0.19622,0.07733,0.03062,0.08494,0.01184,-0.1272
-0.1433,0.03573,-0.1909,-0.0506,0.01591,-0.0123,0.06548,-0.0621,-0.0244,-0.0707,-0.1881,-0.1272
-0.0725,-0.0190,0.08902,0.24391,-0.0274,0.01584,0.19622,0.07733,0.03062,0.08494,0.01184,-0.1272
-0.2406,0.05971,-0.2709,-0.0643,0.00256,0.00176,0.04428,-0.1796,0.21172,-0.0827,-0.0804,-0.1272
-0.0459,0.05628,0.01902,-0.0643,0.04429,-0.0968,-0.0617,0.04796,-0.0402,0.54003,-0.2035,-0.1272
0.05136,0.06313,-0.0909,0.08638,0.14780,0.50880,0.34817,0.13607,-0.1189,0.13284,-0.1881,-0.1272
0.05136,0.06313,-0.0809,0.09323,0.13778,0.49471,0.35877,0.13607,-0.1111,0.16278,-0.1881,-0.1272
0.01596,-0.1697,0.28902,-0.0506,0.00756,0.26936,0.19976,0.01125,-0.0087,0.05500,0.01184,0.27279
-0.0194,0.02204,0.00902,-0.0574,0.46833,0.00176,0.03368,0.00391,-0.1583,0.37236,-0.1727,-0.1272
-0.0813,0.04258,-0.1909,0.12747,-0.0024,-0.1390,-0.0617,0.04796,0.05424,-0.0947,-0.2189,-0.3272
-0.0371,-0.1423,0.23902,-0.0506,0.42326,0.01584,0.03368,0.01125,-0.2134,0.25260,-0.1881,0.07279
0.05136,-0.2108,0.20902,-0.0506,-0.0174,0.18486,0.04781,0.00391,0.06211,-0.0767,-0.1573,0.07279
-0.0636,-0.0943,0.03902,-0.0163,-0.0091,0.10035,0.08668,0.10670,0.16447,-0.0048,-0.1112,-0.1272
-0.0371,-0.0670,-0.0609,-0.0643,0.03094,-0.0827,-0.0334,-0.0107,-0.1111,0.15080,-0.1419,-0.1272
0.01596,-0.0259,-0.1609,-0.0163,-0.0057,-0.0968,0.07255,0.00391,-0.1111,-0.0767,-0.1573,-0.1272
-0.1256,-0.0875,-0.1309,-0.0095,-0.0041,0.07218,-0.0228,0.00391,0.09361,-0.0168,-0.1112,0.07279
-0.1787,-0.0943,-0.1109,-0.0780,-0.0124,-0.0686,-0.0829,-0.0915,0.02274,-0.0587,-0.1727,-0.1272
-0.0636,-0.0806,-0.0309,-0.0506,-0.0124,-0.1672,-0.1253,-0.0401,-0.0244,-0.0408,-0.1419,-0.1272
-0.0371,-0.0670,-0.0609,-0.0643,0.03094,-0.0827,-0.0334,-0.0107,-0.1111,0.15080,-0.1419,-0.1272
-0.1079,0.12478,-0.2709,-0.0437,-0.0124,-0.0264,-0.0405,0.03328,0.12510,-0.0647,-0.1573,-0.1272
-0.0459,0.08026,-0.2709,-0.0369,-0.0091,-0.1109,-0.1076,-0.0254,0.05424,-0.0408,-0.0958,0.07279
-0.1433,0.10080,-0.2009,-0.0095,0.00256,0.01584,0.12555,-0.0695,0.03062,-0.0707,-0.0496,-0.1272
-0.1256,0.10765,-0.2709,-0.0026,0.02927,0.08626,-0.0334,-0.0107,0.11723,-0.0527,0.02723,0.07279
-0.0017,0.08710,-0.1509,-0.0163,-0.0074,-0.0123,0.23509,-0.0107,-0.1111,0.00110,-0.0958,-0.1272
-0.1256,0.05286,-0.1509,0.55898,-0.0241,0.33979,0.12908,0.18746,0.10936,-0.0827,-0.1573,0.07279
-0.2760,-0.1423,-0.0209,-0.0506,0.02593,-0.0404,0.01248,-0.0768,0.05424,-0.0647,-0.1881,-0.1272
-0.0459,0.08026,-0.2709,0.20282,-0.0024,-0.1531,-0.1005,0.13607,0.06999,-0.0647,-0.1266,0.07279
-0.0459,0.04943,-0.1309,-0.0095,-0.0024,-0.1813,-0.1111,0.05531,0.08573,-0.0348,0.05800,0.07279
